COMMUNITY_AREA_NAME,PERCENT_AGED_16__UNEMPLOYED,PER_CAPITA_INCOME,HARDSHIP_INDEX
Rogers Park,8.7,23939,39.0
West Ridge,8.8,23040,46.0
Uptown,8.9,35787,20.0
Lincoln Square,8.2,37524,17.0
North Center,5.2,57123,6.0
Lake View,4.7,60058,5.0
Lincoln Park,5.1,71551,2.0
Near North Side,7.0,88669,1.0
Edison Park,6.5,40959,8.0
Norwood Park,9.0,32875,21.0
Jefferson Park,12.4,27751,25.0
Forest Glen,6.8,44164,11.0
North Park,9.9,26576,33.0
Albany Park,10.0,21323,53.0
Portage Park,12.6,24336,35.0
Irving Park,10.0,27249,34.0
Dunning,10.0,26282,28.0
Montclaire,13.8,22014,50.0
Belmont Cragin,14.6,15461,70.0
Hermosa,13.1,15089,71.0
Avondale,9.2,20039,42.0
Logan Square,8.2,31908,23.0
Humboldt park,17.3,13781,85.0
West Town,6.6,43198,10.0
Austin,22.6,15957,73.0
West Garfield Park,25.8,10934,92.0
East Garfield Park,19.6,12961,83.0
Near West Side,10.7,44689,15.0
North Lawndale,21.2,12034,87.0
South Lawndale,15.8,10402,96.0
Lower West Side,15.8,16444,76.0
Loop,5.7,65526,3.0
Near South Side,4.9,59077,7.0
Armour Square,16.7,16148,82.0
Douglas,18.2,23791,47.0
Oakland,28.7,19252,78.0
Fuller Park,33.9,10432,97.0
Grand Boulevard,24.3,23472,57.0
Kenwood,15.7,35911,26.0
Washington Park,28.6,13785,88.0
Hyde Park,8.4,39056,14.0
Woodlawn,23.4,18672,58.0
South Shore,20.0,19398,55.0
Chatham,24.0,18881,60.0
Avalon Park,21.1,24454,41.0
South Chicago,19.7,16579,75.0
Burnside,18.6,12515,79.0
Calumet Heights,20.0,28887,38.0
Roseland,20.3,17949,52.0
Pullman,22.8,20588,51.0
South Deering,16.3,14685,65.0
East Side,12.1,17104,64.0
West Pullman,19.4,16563,62.0
Riverdale,34.6,8201,98.0
Hegewisch,9.6,22677,44.0
Garfield Ridge,11.3,26353,32.0
Archer Heights,16.5,16134,67.0
Brighton Park,13.9,13089,84.0
McKinley Park,13.4,16954,61.0
Bridgeport,13.7,22694,43.0
New City,23.0,12765,91.0
West Elsdon,16.7,15754,69.0
Gage Park,18.2,12171,93.0
Clearing,9.5,25113,29.0
West Lawn,9.6,16907,56.0
Chicago Lawn,17.1,13231,80.0
West Englewood,35.9,11317,89.0
Englewood,28.0,11888,94.0
Greater Grand Crossing,23.0,17285,66.0
Ashburn,11.7,23482,37.0
Auburn Gresham,28.3,15528,74.0
Beverly,8.0,39523,12.0
Washington Height,20.8,19713,48.0
Mount Greenwood,8.7,34381,16.0
Morgan Park,15.0,27149,30.0
O'Hare,7.1,25828,24.0
Edgewater,9.2,33385,19.0
CHICAGO,12.9,28202,
